G@Gel07@002, 29, 2010-07-03, France, T1
G@Gel07@003, 11, 2010-09-12, Belgium, T4
G@Gel07@004, 80, 2010-08-05, Belgium, T3
G@Gel07@005, 42, 2010-10-58, France, T1
G@Gel07@006, 84, 2010-05-20, Netherlands, T4
G@Gel07@007, 80, 2010-01-14, Netherlands, T1
G@Gel07@008, 71, 2010-02-02, France, T1
G@Gel07@010, 26, 2010-04-29, Denmark, T3
G@Gel07@011, 29, 2010-04-02, Belgium, T1
G@Gel07@012, 67, 2010-02-02, Netherlands, T1
G@Gel07@013, 58, 2010-04-08, Netherlands, T4
G@Gel07@014, 64, 2010-03-02, France, T2
G@Gel07@015, 78, 2010-02-16, Belgium, T4
G@Gel07@016, 21, 2010-02-01, Netherlands, T4
G@Gel07@017, 153, 2010-04-30, Belgium, T4
G@Gel08@002, 142, 2010-04-25, Belgium, T4
G@Gel08@003, 109, 2010-03-16, Netherlands, T4
G@Gel08@004, 100, 2010-03-24, Netherlands, T2
G@Gel08@005, 84, 2010-03-15, Netherlands, T4
G@Gel08@006, 91, 2010-04-08, France, T1
G@Gel08@007, 46, 2010-02-20, Netherlands, T4
G@Gel08@008, 80, 2010-01-29, Netherlands, T4
G@Gel08@010, 64, 2010-03-25, France, T1
G@Gel08@011, 71, 2010-05-20, Denmark, T1
G@Gel08@012, 40, 2010-07-22, Netherlands, T4
G@Gel08@013, 87, 2010-05-19, Netherlands, T1
G@Gel08@014, 160, 2010-05-10, France, T1
G@Gel08@015, 150, 2010-04-06, Belgium, T2
G@Gel08@016, 114, 2010-06-15, France, T3
G@Gel09@002, 231, 2010-08-17, Netherlands, T4
G@Gel09@003, 110, 2010-10-01, France, T4
G@Gel09@004, 56, 2010-09-30, Denmark, T1
G@Gel09@005, 56, 2010-08-31, Belgium, T4
G@Gel09@007, 60, 2010-06-25, Netherlands, T4
G@Gel09@008, 49, 2010-04-28, Netherlands, T2
G@Gel09@009, 40, 2010-01-04, Denmark, T4
G@Gel09@010, 78, 2010-05-10, Denmark, T1
G@Gel09@011, 70, 2010-03-20, France, T4
G@Gel11@002, 19, 2010-05-11, Netherlands, T1
G@Gel11@003, 55, 2010-10-13, France, T1
G@Gel11@004, 49, 2010-01-03, Belgium, T4
G@Gel11@005, 126, 2010-02-28, Belgium, T3
G@Gel11@006, 138, 2010-01-17, Netherlands, T3
G@Gel11@008, 64, 2010-07-08, Belgium, T1
G@Gel11@009, 148, 2010-09-09, France, T1
G@Gel11@010, 201, 2010-09-01, Netherlands, T4
G@Gel11@011, 94, 2010-07-25, France, T3
